Year,Gender,Variable,Change_mean,Change_ci_lower,Change_ci_upper,Change_unit
10 years,female,t_IS_death,-159.51493535936117,-152.05828189142863,-166.84908187673935,thousand
10 years,female,t_HS_death,-36.3978788793612,-32.69135744561958,-40.076446860728986,thousand
10 years,female,t_US_death,-27.936379361279993,-24.685531061076677,-31.165772613167864,thousand
10 years,female,t_chd_event,-0.5000886239999999,-0.4988979368000003,-0.5048513728,million
10 years,female,t_chd_death,-35.720616000000035,-34.55089013349486,-36.86290854981891,thousand
10 years,female,Cost,-8.529126562210541,-8.422609503143708,-8.635643621277405,billion
10 years,female,QALY,2.643832061010465,2.6550183853271605,2.6326457366937697,million
10 years,female,t_deathage,0.7625304595870119,-0.7703995991123094,0.7546613200617145,
10 years,female,t_stroke_event_annual,-0.22887228710127017,-0.22496074971316593,-0.2322414593823489,million
10 years,female,t_IS_event_annual,-0.16309439178836532,-0.16000639933985028,-0.16615886575022992,million
10 years,female,t_HS_event_annual,-37.21463388266691,-36.54235332049665,-37.72572230181785,thousand
10 years,female,t_US_event_annual,-28.563261430238956,-27.92298787243958,-28.986678076668817,thousand
10 years,female,t_stroke_death_annual,-86.00494293872994,-80.12355120753497,-91.82028315400888,thousand
10 years,female,t_IS_death_annual,-61.287122338139746,-56.288235667020345,-66.23894069901546,thousand
10 years,female,t_HS_death_annual,-13.984403721838262,-11.590922234868751,-16.367145232318865,thousand
10 years,female,t_US_death_annual,-10.733416878754266,-8.644131405722975,-12.8144591225974,thousand
10 years,female,t_chd_event_annual,-85.7738929225402,-83.84495603379398,-88.52182888196852,thousand
10 years,female,t_chd_death_annual,-23.040269814920844,-21.658337866209827,-24.404506911493897,thousand
10 years,female,t_noncvd_death_annual,-0.07514039473365085,-0.07298178262175341,-0.07724129926724965,million
10 years,female,t_Cost_annual,-1.4709927628314476,-1.4522778681046296,-1.4897076575582637,billion
10 years,female,t_QALY_annual,0.04184870057927072,0.0429383659813907,0.040759035177150744,million
10 years,male,t_stroke_event,-1.0954472593999989,-1.0889111779000014,-1.1058723093925007,million
10 years,male,t_IS_event,-0.7806157170484401,-0.7768663396485336,-0.7927487954667639,million
10 years,male,t_HS_event,-0.1781197243784396,-0.17514397719312016,-0.1810954715637588,million
10 years,male,t_US_event,-0.13671181797311874,-0.1367077394582627,-0.13817600480642425,million
10 years,male,t_stroke_death,-231.3772851000001,-222.1394525037111,-240.43742069530813,thousand
10 years,male,t_IS_death,-164.87945336226136,-156.9003917556068,-172.73188808601384,thousand
10 years,male,t_HS_death,-37.621946557258696,-33.668343723001485,-41.54665585915984,thousand
10 years,male,t_US_death,-28.87588518047871,-25.409310912906193,-32.32028286233124,thousand
10 years,male,t_chd_event,-0.47844116580000057,-0.46667621910000034,-0.484977247299999,million
10 years,male,t_chd_death,-40.52370530000003,-39.10754214887321,-41.90874637750874,thousand
10 years,male,Cost,-7.825689236178985,-7.709422893358353,-7.941955578999618,billion
10 years,male,QALY,3.2753462645127325,3.2844254146746397,3.2662671143508404,million
10 years,male,t_deathage,0.6075420070956028,-0.6191175441601473,0.5959664700310583,
10 years,male,t_stroke_event_annual,-0.2367871893828176,-0.23180268803937454,-0.24120232540448336,million
10 years,male,t_IS_event_annual,-0.16873455115419533,-0.1667309371754648,-0.17158278234884283,million
10 years,male,t_HS_event_annual,-38.50159699364641,-37.85190273483988,-39.137523782658505,thousand
10 years,male,t_US_event_annual,-29.551041234975855,-29.050018343331757,-30.18901482903326,thousand
10 years,male,t_stroke_death_annual,-89.9940612055957,-83.7247559367097,-96.19425132873343,thousand
10 years,male,t_IS_death_annual,-64.12976801510673,-58.80294973680572,-69.40733484054898,thousand
10 years,male,t_HS_death_annual,-14.6330343520296,-12.084939487836731,-17.169891093523066,thousand
10 years,male,t_US_death_annual,-11.231258838458103,-9.007429075077765,-13.446463031649568,thousand
10 years,male,t_chd_event_annual,-86.43967783750011,-84.49374112869461,-88.18150465200272,thousand
10 years,male,t_chd_death_annual,-20.848543775119644,-19.558874811858317,-22.122201124699437,thousand
10 years,male,t_noncvd_death_annual,-0.14251147605809453,-0.13923736019529798,-0.14567614357167388,million
10 years,male,t_Cost_annual,-1.498530004559637,-1.4784796329115981,-1.518580376207676,billion
10 years,male,t_QALY_annual,0.02862712462247722,0.02979455108841136,0.02745969815654121,million
20 years,both,t_stroke_event,-2.160686527500004,-2.163184430999994,-2.200590535912499,million
20 years,both,t_IS_event,-1.539705219496496,-1.5094896170676537,-1.5717453281103038,million
20 years,both,t_HS_event,-0.35132762937149964,-0.34725588430277166,-0.35578522559386955,million
20 years,both,t_US_event,-0.26965367863200046,-0.26560107999360005,-0.27338674545468017,million
20 years,both,t_stroke_death,-0.5345513489999999,-0.5172474899474955,-0.5514446743583877,million
20 years,both,t_IS_death,-0.38092129129740016,-0.36579848951255517,-0.3957515467718141,million
20 years,both,t_HS_death,-86.91804934740247,-79.26833147060799,-94.50101444552804,thousand
20 years,both,t_US_death,-66.7120083552025,-59.99330314739459,-73.37947895797866,thousand
20 years,both,t_chd_event,-0.8842578389999997,-0.8767016809124966,-0.8918139970875029,million
20 years,both,t_chd_death,-0.012489517499999608,-0.012137333062196151,-0.012832110029064585,million
20 years,both,Cost,-16.430900172810823,-16.134936576077454,-16.726863769544188,billion
20 years,both,QALY,11.605797815186442,11.586683461624771,11.62491216874808,million
20 years,both,t_deathage,0.7551967304140703,-0.7600481454585406,0.7503453153696,
20 years,both,t_stroke_event_annual,-0.4409367008358007,-0.4320147614160748,-0.4495102098983531,million
20 years,both,t_IS_event_annual,-0.314211493015592,-0.30711033522169107,-0.32320584078864845,million
20 years,both,t_HS_event_annual,-71.69630755590025,-70.08336003459874,-72.93104165280099,thousand
20 years,both,t_US_event_annual,-55.028900264308675,-54.016765592892654,-55.97271272572287,thousand
20 years,both,t_stroke_death_annual,-181.48286203313748,-169.37762894150282,-193.4487168781223,thousand
20 years,both,t_IS_death_annual,-129.3246874848138,-119.031100059814,-139.51895397124625,thousand
20 years,both,t_HS_death_annual,-29.509113366588004,-24.574202561045663,-34.421361269224306,thousand
20 years,both,t_US_death_annual,-22.649061181735743,-18.340267295820812,-26.94046066246921,thousand
20 years,both,t_chd_event_annual,-0.15956438531228084,-0.15555180222398834,-0.16179896092918167,million
20 years,both,t_chd_death_annual,-38.99614847498445,-36.70791775355616,-41.25443028145691,thousand
20 years,both,t_noncvd_death_annual,-0.21763377814544038,-0.21265919279331713,-0.22244122146514012,million
20 years,both,t_Cost_annual,-2.7579382225551603,-2.7219753232926864,-2.7939011218176386,billion
20 years,both,t_QALY_annual,-0.03321063474737853,-0.031224002789068967,-0.03519726670569554,million
20 years,female,t_stroke_event,-1.1001949728000016,-1.0930806167800016,-1.1180255136200004,million
20 years,female,t_IS_event,-0.7839989376172777,-0.7695747147390414,-0.7823019702198394,million
20 years,female,t_HS_event,-0.17889170257728035,-0.17676203945136024,-0.1808326001079497,million
20 years,female,t_US_event,-0.13730433260544017,-0.13536884674809593,-0.13967818186233613,million
20 years,female,t_stroke_death,-277.4301176,-268.59152391189315,-286.05564586183743,thousand
20 years,female,t_IS_death,-197.69670180176,-189.9637141978286,-205.27785898293124,thousand
20 years,female,t_HS_death,-45.110137121761205,-41.19129126283304,-48.994338542374926,thousand
20 years,female,t_US_death,-34.62327867648119,-31.180911613316493,-38.03905517444473,thousand
20 years,female,t_chd_event,-0.5096141215999993,-0.4988681696199989,-0.5143471032199999,million
20 years,female,t_chd_death,0.009525497599999886,0.009266590809421847,0.009777088839460397,million
20 years,female,Cost,-9.24285873120459,-9.096719415575425,-9.388998046833725,billion
20 years,female,QALY,5.372768468203485,5.364972703869775,5.380564232537195,million
20 years,female,t_deathage,0.8232294044979227,-0.8264661263890218,0.8199926826068236,
20 years,female,t_stroke_event_annual,-0.21822654377109,-0.2146207732504988,-0.22250247623621788,million
20 years,female,t_IS_event_annual,-0.15550823509127903,-0.152494283883555,-0.15870805793864606,million
20 years,female,t_HS_event_annual,-35.48363601717891,-34.92525766787748,-36.063156546715966,thousand
20 years,female,t_US_event_annual,-27.234672662631638,-26.71663570223513,-27.743295796721767,thousand
20 years,female,t_stroke_death_annual,-90.00698946811254,-84.07738658394435,-95.86746727766838,thousand
20 years,female,t_IS_death_annual,-64.13898069497664,-59.09559032235474,-69.13311253943094,thousand
20 years,female,t_HS_death_annual,-14.63513648751488,-12.215710657630986,-17.043322580266604,thousand
20 years,female,t_US_death_annual,-11.232872285621019,-9.120158030297047,-13.336959731631264,thousand
20 years,female,t_chd_event_annual,-75.6260353275832,-73.28218343619432,-77.53229270782275,thousand
20 years,female,t_chd_death_annual,-19.864996199893532,-18.715651543805492,-20.99908460363245,thousand
20 years,female,t_noncvd_death_annual,-0.07313865715400503,-0.07125729729394754,-0.07496384676370281,million
20 years,female,t_Cost_annual,-1.3837655618781282,-1.3648727249467965,-1.4026583988094596,billion
20 years,female,t_QALY_annual,-0.003052452171193436,-0.0020121427077772094,-0.0040927616346087305,million
20 years,male,t_stroke_event,-0.9843338739,-0.9791050086999983,-1.0091383031925,million
20 years,male,t_IS_event,-0.7014363185411394,-0.6874634835104402,-0.7144543431780767,million
20 years,male,t_HS_event,-0.1600526878961399,-0.15877736767385994,-0.16175842869343982,million
20 years,male,t_US_event,-0.12284486746272026,-0.12170696181789692,-0.12431313281088135,million
20 years,male,t_stroke_death,-260.1360437,-251.4007131541972,-268.67159061193314,thousand
20 years,male,t_IS_death,-185.37294474062008,-177.75683659686322,-192.84668706688063,thousand
20 years,male,t_HS_death,-42.2981207056213,-38.4611748117421,-46.10258178063016,thousand
20 years,male,t_US_death,-32.46497825376131,-29.096043805881592,-35.8089797041312,thousand
20 years,male,t_chd_event,-0.4026226203999985,-0.39870097149999906,-0.40396251710750164,million
20 years,male,t_chd_death,0.002614432599999942,0.002536236484728055,0.002690620839555515,million
20 years,male,Cost,-7.449471005601059,-7.304081483907135,-7.5948605272949825,billion
20 years,male,QALY,6.133440761948154,6.118384567611382,6.14849695628488,million
20 years,male,t_deathage,0.7398312897360881,-0.7443280879887482,0.7353344914834281,
20 years,male,t_stroke_event_annual,-0.23073638287521597,-0.22708900120181916,-0.2363788241148626,million
20 years,male,t_IS_event_annual,-0.16442274643687857,-0.16115089980941988,-0.16802735112071526,million
20 years,male,t_HS_event_annual,-37.5177358555104,-36.68507137419051,-38.31374047628237,thousand
20 years,male,t_US_event_annual,-28.79590058282696,-28.181324170936772,-29.302731849069097,thousand
20 years,male,t_stroke_death_annual,-92.49405113250779,-86.26267367177954,-98.65439346337162,thousand
20 years,male,t_IS_death_annual,-65.91126083702498,-60.61345416924215,-71.15844787126527,thousand
20 years,male,t_HS_death_annual,-15.03953271414547,-12.50097791500936,-17.566537201165797,thousand
20 years,male,t_US_death_annual,-11.543257581337276,-9.326998939951762,-13.750651038515512,thousand
20 years,male,t_chd_event_annual,-74.98012148287077,-72.99989840282349,-76.48405751421885,thousand
20 years,male,t_chd_death_annual,-17.76875798722118,-16.70116228328296,-18.822707342929267,thousand
20 years,male,t_noncvd_death_annual,-0.13163144041133323,-0.128887107066561,-0.13427468123881006,million
20 years,male,t_Cost_annual,-1.414335146602766,-1.3941373553794478,-1.434532937826084,billion
20 years,male,t_QALY_annual,-0.0229824960029535,-0.022024304340558125,-0.023940687665352598,million
30 years,both,t_stroke_event,-1.9133940810000003,-1.883419239,-1.9233856950000003,million
30 years,both,t_IS_event,-1.3634846221206076,-1.3474645678137018,-1.3812401823107487,million
30 years,both,t_HS_event,-0.31111787757059933,-0.30787875867552683,-0.31355483222519887,million
30 years,both,t_US_event,-0.2387915813087998,-0.23536245938399994,-0.2412854881632002,million
30 years,both,t_stroke_death,-0.5570324804999999,-0.5399880979087004,-0.5736490639614498,million
30 years,both,t_IS_death,-0.3969413456042998,-0.38198626481684295,-0.41159157673182245,million
30 years,both,t_HS_death,-90.57348132929754,-82.9584186364939,-98.11898388358992,thousand
30 years,both,t_US_death,-69.51765356640003,-62.826145130162274,-76.15577267123106,thousand
30 years,both,t_chd_event,-0.7368815324999988,-0.7293878219999987,-0.7518689534999989,million
30 years,both,t_chd_death,0.02497903500000015,0.024313625466062222,0.02562526071645459,million
30 years,both,Cost,-14.87107672741696,-14.580831733096954,-15.161321721736877,billion
30 years,both,QALY,13.895789143400282,13.841219802260548,13.950358484540015,million
30 years,both,t_deathage,0.8885117431839404,-0.8894027976598267,0.8876206887080542,
30 years,both,t_stroke_event_annual,-0.4389075054826206,-0.43100346360397757,-0.44915097593208075,million
30 years,both,t_IS_event_annual,-0.3127654884069157,-0.30746132018475325,-0.31809847125876556,million
30 years,both,t_HS_event_annual,-71.3663603914748,-69.83973478305788,-72.63721163148125,thousand
30 years,both,t_US_event_annual,-54.77565668423049,-53.73697590517951,-55.73259819702385,thousand
30 years,both,t_stroke_death_annual,-182.4117175202527,-170.33135833604197,-194.35198509982018,thousand
30 years,both,t_IS_death_annual,-129.98658990493328,-119.71275464834014,-140.16059588405477,thousand
30 years,both,t_HS_death_annual,-29.66014526879249,-24.732883908026764,-34.5646277346447,thousand
30 years,both,t_US_death_annual,-22.764982346526967,-18.462564576605903,-27.04991668418987,thousand
30 years,both,t_chd_event_annual,-0.1551447731571973,-0.1512093554560889,-0.1579152139860927,million
30 years,both,t_chd_death_annual,-37.64846854832966,-35.45442824374046,-39.81359495175979,thousand
30 years,both,t_noncvd_death_annual,-0.20020972218968533,-0.1957816595534631,-0.2044840244116746,million
30 years,both,t_Cost_annual,-2.724395051995056,-2.6879693351213416,-2.7608207688687707,billion
30 years,both,t_QALY_annual,-0.08798347591558471,-0.08669774335968122,-0.08926920847148448,million
30 years,female,t_stroke_event,-1.0132748071999997,-0.9918126704200022,-1.0311053480200023,million
30 years,female,t_IS_event,-0.7220596276107244,-0.7246262907993477,-0.7288262851080094,million
30 years,female,t_HS_event,-0.16475848365072068,-0.16669938118138722,-0.16630732956048147,million
30 years,female,t_US_event,-0.1264566959385588,-0.12363333844992007,-0.12764919298310437,million
30 years,female,t_stroke_death,-306.0066104,-296.90378055750136,-314.87442816288,thousand
30 years,female,t_IS_death,-218.06031057104013,-210.05610840914107,-225.89704312500217,thousand
30 years,female,t_HS_death,-49.75667485104117,-45.66655902078653,-53.8085777171473,thousand
30 years,female,t_US_death,-38.18962497792,-34.59466150614746,-41.75525894215654,thousand
30 years,female,t_chd_event,-0.4322194536000006,-0.426266017599999,-0.4417449512,million
30 years,female,t_chd_death,0.03095786720000021,0.030166931998155545,0.03172502686071582,million
30 years,female,Cost,-8.41269008171872,-8.266780874576416,-8.558599288860963,billion
30 years,female,QALY,6.74860893112269,6.720319014667451,6.776898847577915,million
30 years,female,t_deathage,0.9392293814396311,-0.9395859324308589,0.9388728304484033,
30 years,female,t_stroke_event_annual,-0.22062725006489456,-0.21614373193463962,-0.22467368133489765,million
30 years,female,t_IS_event_annual,-0.1572189783962432,-0.1538066322679493,-0.16087949258674053,million
30 years,female,t_HS_event_annual,-35.87399086055174,-35.107527268921956,-36.59494953273583,thousand
30 years,female,t_US_event_annual,-27.534280808098497,-26.892767564440785,-27.9771126497956,thousand
30 years,female,t_stroke_death_annual,-91.23987957366987,-85.28161073970078,-97.12807647744593,thousand
30 years,female,t_IS_death_annual,-65.01753818419742,-59.94890012954836,-70.03624298138897,thousand
30 years,female,t_HS_death_annual,-14.83560441867802,-12.402960321356204,-17.2568548201515,thousand
30 years,female,t_US_death_annual,-11.386736970794452,-9.262300297049194,-13.502428667651403,thousand
30 years,female,t_chd_event_annual,-73.06760420648439,-71.2215792109142,-74.96901767352712,thousand
30 years,female,t_chd_death_annual,-19.034362229150894,-17.941402201390126,-20.112703928745525,thousand
30 years,female,t_noncvd_death_annual,-0.06761625790237193,-0.06594450424948033,-0.06923608248952846,million
30 years,female,t_Cost_annual,-1.3677879704089795,-1.348567986997448,-1.387007953820509,billion
30 years,female,t_QALY_annual,-0.035861190550253726,-0.03520909427800123,-0.03651328682250716,million
30 years,male,t_stroke_event,-0.884985435100004,-0.8862926513999961,-0.8980575980999991,million
30 years,male,t_IS_event,-0.6306406210522596,-0.6240966766462139,-0.6445901680245735,million
30 years,male,t_HS_event,-0.14389863174725884,-0.14092288456194102,-0.14581161208067975,million
30 years,male,t_US_event,-0.11044618230048009,-0.10848849516959955,-0.11142502586591989,million
30 years,male,t_stroke_death,-264.05769259999994,-255.57065164500975,-272.34193810754465,thousand
30 years,male,t_IS_death,-188.16751174675872,-180.74671845895273,-195.44379299871775,thousand
30 years,male,t_HS_death,-42.935780816758694,-39.17904588364047,-46.65954121012491,thousand
30 years,male,t_US_death,-32.95440003647871,-29.654680804122457,-36.22881039699733,thousand
30 years,male,t_chd_event,-0.3437978869000003,-0.3333401565000005,-0.3503339684000006,million
30 years,male,t_chd_death,0.0209154608,0.020315853672202212,0.021499004922059133,million
30 years,male,Cost,-6.635698112237884,-6.493109111277207,-6.778287113198593,billion
30 years,male,QALY,7.196814579187498,7.164327825043946,7.229301333331064,million
30 years,male,t_deathage,0.8823142671237463,-0.883397632070384,0.8812309021771085,
30 years,male,t_stroke_event_annual,-0.23074422714187856,-0.22715257589904847,-0.23536542514932132,million
30 years,male,t_IS_event_annual,-0.16442833626130246,-0.16050393159116083,-0.16742809511116613,million
30 years,male,t_HS_event_annual,-37.51901133326924,-37.00572117961044,-38.38547721000854,thousand
30 years,male,t_US_event_annual,-28.796879547307295,-28.165415142893618,-29.296333777577065,thousand
30 years,male,t_stroke_death_annual,-92.59756509485719,-86.3929273713583,-98.73108819010754,thousand
30 years,male,t_IS_death_annual,-65.9850248865962,-60.709418056713794,-71.20995543238556,thousand
30 years,male,t_HS_death_annual,-15.056364084423716,-12.5277422415002,-17.5734226887943,thousand
30 years,male,t_US_death_annual,-11.556176123838556,-9.348469992269314,-13.755007149802674,thousand
30 years,male,t_chd_event_annual,-73.52425330895325,-71.53531762758922,-74.43467636484769,thousand
30 years,male,t_chd_death_annual,-17.122333114466745,-16.098723229549652,-18.13279310334689,thousand
30 years,male,t_noncvd_death_annual,-0.12193072995064501,-0.11946026245800406,-0.12430755504001258,million
30 years,male,t_Cost_annual,-1.4015111222707652,-1.3810724257710572,-1.4219498187704716,billion
30 years,male,t_QALY_annual,-0.04915580154284462,-0.048587354335337875,-0.04972424875035137,million
40 years,both,t_stroke_event,-1.8684318179999961,-1.8610005550874993,-1.9158919844999984,million
40 years,both,t_IS_event,-1.3314445135067814,-1.329620007321857,-1.3581446040183007,million
40 years,both,t_HS_event,-0.30380701360679696,-0.29892295031987504,-0.3054316500431998,million
40 years,both,t_US_event,-0.23318029088639933,-0.2303746456751991,-0.23785636623840314,million
40 years,both,t_stroke_death,-0.5495387700000001,-0.5330343143354096,-0.5656211816799848,million
40 years,both,t_IS_death,-0.39160132750200016,-0.37709981529731723,-0.4058020911632504,million
40 years,both,t_HS_death,-89.35500400199753,-81.95392689902161,-96.68745675308287,thousand
40 years,both,t_US_death,-68.582438496,-62.07789588329359,-75.0343100194289,thousand
40 years,both,t_chd_event,-0.7268899185000006,-0.7069066905000005,-0.7493710500000007,million
40 years,both,t_chd_death,0.03247274550000019,0.03161683405157551,0.033303717985696625,million
40 years,both,Cost,-14.146223638143127,-13.868622356981506,-14.42382491930487,billion
40 years,both,QALY,14.580520087826788,14.511615908579886,14.649424267073721,million
40 years,both,t_deathage,0.9404344845199404,-0.940160122075639,0.9407088469642417,
40 years,both,t_stroke_event_annual,-0.4412662963129212,-0.4337702739082314,-0.4481190422029998,million
40 years,both,t_IS_event_annual,-0.3144463627525871,-0.30962246244016894,-0.31953804707909933,million
40 years,both,t_HS_event_annual,-71.74989978048025,-70.5045412968854,-73.32731715885194,thousand
40 years,both,t_US_event_annual,-55.070033779853546,-53.963520863718294,-56.1905660540103,thousand
40 years,both,t_stroke_death_annual,-182.18130724857363,-170.13766627282695,-194.08503357401588,thousand
40 years,both,t_IS_death_annual,-129.8223995453351,-119.57944323467665,-139.96565267618274,thousand
40 years,both,t_HS_death_annual,-29.622680558620107,-24.709775700579005,-34.5128352945186,thousand
40 years,both,t_US_death_annual,-22.736227144623363,-18.446270016692615,-27.008722924193325,thousand
40 years,both,t_chd_event_annual,-0.15641961517422415,-0.15331736569959392,-0.16009219687885093,million
40 years,both,t_chd_death_annual,-37.439618785312746,-35.25971748205542,-39.59076658334757,thousand
40 years,both,t_noncvd_death_annual,-0.19428756168032343,-0.19003781047280877,-0.1983881006735824,million
40 years,both,t_Cost_annual,-2.727939323505184,-2.691314427036964,-2.764564219973404,billion
40 years,both,t_QALY_annual,-0.10728264106803387,-0.10644090141135082,-0.10812438072470948,million
40 years,female,t_stroke_event,-0.981126252799999,-0.9692491479800008,-0.9941940448200032,million
40 years,female,t_IS_event,-0.6991505677452776,-0.701696018841438,-0.7093323721299265,million
40 years,female,t_HS_event,-0.1595311287052799,-0.15759991146154748,-0.15991834018271975,million
40 years,female,t_US_event,-0.12244455634944001,-0.12080998096128041,-0.12140437201151996,million
40 years,female,t_stroke_death,-308.38798479999997,-299.4422727116712,-317.0968559209292,thousand
40 years,female,t_IS_death,-219.75727796848003,-211.87560000248195,-227.4701830611108,thousand
40 years,female,t_HS_death,-50.14388632847881,-46.10334056202608,-54.145921753634056,thousand
40 years,female,t_US_death,-38.48682050304,-34.93462282507197,-42.009460428275574,thousand
40 years,female,t_chd_event,-0.428647392,-0.42269395600000115,-0.4310287664000001,million
40 years,female,t_chd_death,0.040483364799999866,0.03946055611256463,0.04147508239519107,million
40 years,female,Cost,-7.908618141428497,-7.769192015058838,-8.048044267798126,billion
40 years,female,QALY,7.225860081929252,7.187983145485178,7.263737018373281,million
40 years,female,t_deathage,1.0261354028515228,-1.0243472941984777,1.027923511504568,
40 years,female,t_stroke_event_annual,-0.2227291661206365,-0.21948288010478137,-0.227647427726713,million
40 years,female,t_IS_event_annual,-0.1587168037775643,-0.15534531974943622,-0.16157884668523445,million
40 years,female,t_HS_event_annual,-36.21576241121622,-35.63130054940152,-36.90699592515803,thousand
40 years,female,t_US_event_annual,-27.796599931855862,-27.31239969037773,-28.402410034197324,thousand
40 years,female,t_stroke_death_annual,-91.28427547322644,-85.33768249015347,-97.16076243019732,thousand
40 years,female,t_IS_death_annual,-65.04917470222156,-59.99022665533118,-70.05816519490932,thousand
40 years,female,t_HS_death_annual,-14.842823191946533,-12.414520482369218,-17.259726661678744,thousand
40 years,female,t_US_death_annual,-11.392277579058337,-9.271582127216094,-13.504223798843908,thousand
40 years,female,t_chd_event_annual,-73.71688470474281,-71.39671824745078,-75.33676359849028,thousand
40 years,female,t_chd_death_annual,-18.759276984850178,-17.68316380402178,-19.82098310208414,thousand
40 years,female,t_noncvd_death_annual,-0.06266653743054834,-0.0611399507004628,-0.06414499646409462,million
40 years,female,t_Cost_annual,-1.3703284034996395,-1.3509888942099324,-1.3896679127893505,billion
40 years,female,t_QALY_annual,-0.04943288711697794,-0.04905789967193734,-0.04980787456201948,million
40 years,male,t_stroke_event,-0.875834921,-0.8627627579999976,-0.8797565698999986,million
40 years,male,t_IS_event,-0.6241199647045992,-0.6269145317107402,-0.6334351880584024,million
40 years,male,t_HS_event,-0.1424107581546004,-0.1413426774684419,-0.14389331791299909,million
40 years,male,t_US_event,-0.1093041981408,-0.10685301071234281,-0.10963047932927962,million
40 years,male,t_stroke_death,-262.7504763,-254.43558756017325,-270.8635735302392,thousand
40 years,male,t_IS_death,-187.23598941137863,-179.95797900433396,-194.3702031886921,thousand
40 years,male,t_HS_death,-42.72322744637999,-39.03217894498438,-46.381464648316616,thousand
40 years,male,t_US_death,-32.791259442238704,-29.54880612565922,-36.0085291784236,thousand
40 years,male,t_chd_event,-0.32549685870000067,-0.3281112913000006,-0.33464737279999907,million
40 years,male,t_chd_death,0.023529893399999943,0.02285880982433702,0.024182906094206265,million
40 years,male,Cost,-6.310635489387772,-6.174091264437729,-6.447179714337799,billion
40 years,male,QALY,7.490200313549116,7.450625916205928,7.52977471089229,million
40 years,male,t_deathage,0.911081094387626,-0.9109726281267143,0.9111895606485376,
40 years,male,t_stroke_event_annual,-0.23227459921810917,-0.22687933853486134,-0.23673679015581495,million
40 years,male,t_IS_event_annual,-0.16551887940282398,-0.16324162980891438,-0.1684118134572734,million
40 years,male,t_HS_event_annual,-37.76784983286398,-36.747647239481914,-38.766393347611825,thousand
40 years,male,t_US_event_annual,-28.98786998242102,-28.248142882339366,-29.80174368722993,thousand
40 years,male,t_stroke_death_annual,-92.55521940344055,-86.36215176098634,-98.67720493899697,thousand
40 years,male,t_IS_death_annual,-65.95484934689142,-60.6889410092498,-71.17010457515748,thousand
40 years,male,t_HS_death_annual,-15.049478674999438,-12.525322113639525,-17.562077285777406,thousand
40 years,male,t_US_death_annual,-11.550891381549707,-9.347052881846677,-13.745858834311083,thousand
40 years,male,t_chd_event_annual,-73.52520578996464,-71.41547549062234,-74.17504598984995,thousand
