Year,Gender,Variable,Base,Intervention,Change,Base Unit,Intervention Unit,Change Unit
10 years,male,t_IS_event_annual,"1.37 (1.34, 1.4)","1.2 (1.18, 1.23)","-0.17 (-0.17, -0.17)",million,million,million
10 years,male,t_HS_event_annual,"313.12 (306.07, 320.24)","274.62 (268.22, 281.11)","-38.5 (-37.85, -39.14)",thousand,thousand,thousand
10 years,male,t_US_event_annual,"240.33 (234.9, 245.82)","210.78 (205.85, 215.63)","-29.55 (-29.05, -30.19)",thousand,thousand,thousand
10 years,male,t_stroke_death_annual,"292.46 (256.9, 332.82)","202.47 (173.17, 236.63)","-89.99 (-83.72, -96.19)",thousand,thousand,thousand
10 years,male,t_IS_death_annual,"208.41 (178.66, 243.02)","144.28 (119.86, 173.61)","-64.13 (-58.8, -69.41)",thousand,thousand,thousand
10 years,male,t_HS_death_annual,"47.55 (34.42, 65.67)","32.92 (22.34, 48.5)","-14.63 (-12.08, -17.17)",thousand,thousand,thousand
10 years,male,t_US_death_annual,"36.5 (25.25, 52.74)","25.27 (16.24, 39.29)","-11.23 (-9.01, -13.45)",thousand,thousand,thousand
10 years,male,t_chd_event_annual,"823.47 (790.89, 857.1)","737.03 (706.39, 768.92)","-86.44 (-84.49, -88.18)",thousand,thousand,thousand
10 years,male,t_chd_death_annual,"317.93 (280.79, 359.85)","297.08 (261.23, 337.73)","-20.85 (-19.56, -22.12)",thousand,thousand,thousand
10 years,male,t_noncvd_death_annual,"1.67 (1.59, 1.76)","1.53 (1.45, 1.61)","-0.14 (-0.14, -0.15)",million,million,million
10 years,male,t_Cost_annual,"12.97 (12.76, 13.19)","11.47 (11.28, 11.67)","-1.5 (-1.48, -1.52)",billion,billion,billion
10 years,male,t_QALY_annual,"9.9 (9.88, 9.92)","9.93 (9.91, 9.95)","0.03 (0.03, 0.03)",million,million,million
20 years,both,t_stroke_event,"37.06 (36.36, 37.78)","34.9 (34.2, 35.58)","-2.16 (-2.16, -2.2)",million,million,million
20 years,both,t_IS_event,"26.41 (25.9, 26.92)","24.87 (24.39, 25.35)","-1.54 (-1.51, -1.57)",million,million,million
20 years,both,t_HS_event,"6.03 (5.91, 6.14)","5.67 (5.56, 5.79)","-0.35 (-0.35, -0.36)",million,million,million
20 years,both,t_US_event,"4.63 (4.53, 4.71)","4.36 (4.27, 4.44)","-0.27 (-0.27, -0.27)",million,million,million
20 years,both,t_stroke_death,"2.11 (1.98, 2.25)","1.58 (1.46, 1.7)","-0.53 (-0.52, -0.55)",million,million,million
20 years,both,t_IS_death,"1.51 (1.39, 1.63)","1.12 (1.03, 1.23)","-0.38 (-0.37, -0.4)",million,million,million
20 years,both,t_HS_death,"343.61 (291.07, 405.48)","256.69 (211.8, 310.98)","-86.92 (-79.27, -94.5)",thousand,thousand,thousand
20 years,both,t_US_death,"263.73 (218.18, 318.67)","197.02 (158.18, 245.3)","-66.71 (-59.99, -73.38)",thousand,thousand,thousand
20 years,both,t_chd_event,"14.36 (14.01, 14.7)","13.47 (13.13, 13.81)","-0.88 (-0.88, -0.89)",million,million,million
20 years,both,t_chd_death,"2.28 (2.15, 2.43)","2.27 (2.13, 2.42)","-0.01 (-0.01, -0.01)",million,million,million
20 years,both,Cost,"259.58 (255.61, 263.55)","243.15 (239.47, 246.82)","-16.43 (-16.13, -16.73)",billion,billion,billion
20 years,both,QALY,"183.58 (181.67, 185.5)","195.19 (193.26, 197.12)","11.61 (11.59, 11.62)",million,million,million
20 years,both,t_deathage,"76.46 (76.22, 76.7)","77.22 (76.97, 77.46)","0.76 (-0.76, 0.75)",,,
20 years,both,t_stroke_event_annual,"3.53 (3.45, 3.6)","3.08 (3.02, 3.16)","-0.44 (-0.43, -0.45)",million,million,million
20 years,both,t_IS_event_annual,"2.51 (2.46, 2.57)","2.2 (2.15, 2.25)","-0.31 (-0.31, -0.32)",million,million,million
20 years,both,t_HS_event_annual,"573.22 (560.36, 586.04)","501.52 (490.27, 513.11)","-71.7 (-70.08, -72.93)",thousand,thousand,thousand
20 years,both,t_US_event_annual,"439.96 (430.3, 449.65)","384.93 (376.28, 393.67)","-55.03 (-54.02, -55.97)",thousand,thousand,thousand
20 years,both,t_stroke_death_annual,"604.14 (533.37, 684.04)","422.66 (363.99, 490.59)","-181.48 (-169.38, -193.45)",thousand,thousand,thousand
20 years,both,t_IS_death_annual,"430.51 (371.27, 499.01)","301.19 (252.24, 359.49)","-129.32 (-119.03, -139.52)",thousand,thousand,thousand
20 years,both,t_HS_death_annual,"98.23 (71.99, 133.99)","68.72 (47.41, 99.57)","-29.51 (-24.57, -34.42)",thousand,thousand,thousand
20 years,both,t_US_death_annual,"75.4 (52.89, 107.44)","52.75 (34.55, 80.49)","-22.65 (-18.34, -26.94)",thousand,thousand,thousand
20 years,both,t_chd_event_annual,"1.56 (1.49, 1.62)","1.4 (1.34, 1.46)","-0.16 (-0.16, -0.16)",million,million,million
20 years,both,t_chd_death_annual,"668.11 (593.55, 751.76)","629.12 (556.84, 710.5)","-39.0 (-36.71, -41.25)",thousand,thousand,thousand
20 years,both,t_noncvd_death_annual,"3.18 (3.02, 3.35)","2.97 (2.81, 3.13)","-0.22 (-0.21, -0.22)",million,million,million
20 years,both,t_Cost_annual,"24.25 (23.87, 24.63)","21.49 (21.15, 21.84)","-2.76 (-2.72, -2.79)",billion,billion,billion
20 years,both,t_QALY_annual,"17.7 (17.65, 17.76)","17.67 (17.62, 17.72)","-0.03 (-0.03, -0.04)",million,million,million
20 years,female,t_stroke_event,"18.79 (18.44, 19.14)","17.69 (17.35, 18.02)","-1.1 (-1.09, -1.12)",million,million,million
20 years,female,t_IS_event,"13.39 (13.14, 13.63)","12.6 (12.37, 12.85)","-0.78 (-0.77, -0.78)",million,million,million
20 years,female,t_HS_event,"3.05 (3.0, 3.11)","2.88 (2.82, 2.93)","-0.18 (-0.18, -0.18)",million,million,million
20 years,female,t_US_event,"2.34 (2.3, 2.39)","2.21 (2.17, 2.25)","-0.14 (-0.14, -0.14)",million,million,million
20 years,female,t_stroke_death,"1041.85 (977.78, 1109.69)","764.42 (709.19, 823.64)","-277.43 (-268.59, -286.06)",thousand,thousand,thousand
20 years,female,t_IS_death,"742.42 (687.97, 800.88)","544.73 (498.01, 595.6)","-197.7 (-189.96, -205.28)",thousand,thousand,thousand
20 years,female,t_HS_death,"169.41 (143.9, 199.35)","124.29 (102.71, 150.35)","-45.11 (-41.19, -48.99)",thousand,thousand,thousand
20 years,female,t_US_death,"130.02 (107.91, 156.61)","95.4 (76.73, 118.57)","-34.62 (-31.18, -38.04)",thousand,thousand,thousand
20 years,female,t_chd_event,"7.26 (7.1, 7.43)","6.75 (6.6, 6.92)","-0.51 (-0.5, -0.51)",million,million,million
20 years,female,t_chd_death,"1.14 (1.07, 1.21)","1.15 (1.08, 1.22)","0.01 (0.01, 0.01)",million,million,million
20 years,female,Cost,"131.89 (129.99, 133.8)","122.65 (120.89, 124.41)","-9.24 (-9.1, -9.39)",billion,billion,billion
20 years,female,QALY,"92.32 (91.41, 93.22)","97.69 (96.77, 98.6)","5.37 (5.36, 5.38)",million,million,million
20 years,female,t_deathage,"78.41 (78.15, 78.66)","79.23 (78.97, 79.49)","0.82 (-0.83, 0.82)",,,
20 years,female,t_stroke_event_annual,"1.71 (1.67, 1.75)","1.49 (1.46, 1.52)","-0.22 (-0.21, -0.22)",million,million,million
20 years,female,t_IS_event_annual,"1.22 (1.19, 1.25)","1.06 (1.04, 1.09)","-0.16 (-0.15, -0.16)",million,million,million
20 years,female,t_HS_event_annual,"278.02 (272.17, 284.05)","242.53 (237.25, 247.99)","-35.48 (-34.93, -36.06)",thousand,thousand,thousand
20 years,female,t_US_event_annual,"213.39 (208.83, 218.04)","186.15 (182.11, 190.3)","-27.23 (-26.72, -27.74)",thousand,thousand,thousand
20 years,female,t_stroke_death_annual,"295.62 (261.42, 334.16)","205.61 (177.34, 238.29)","-90.01 (-84.08, -95.87)",thousand,thousand,thousand
20 years,female,t_IS_death_annual,"210.66 (182.02, 243.7)","146.52 (122.93, 174.57)","-64.14 (-59.1, -69.13)",thousand,thousand,thousand
20 years,female,t_HS_death_annual,"48.07 (35.37, 65.3)","33.43 (23.15, 48.26)","-14.64 (-12.22, -17.04)",thousand,thousand,thousand
20 years,female,t_US_death_annual,"36.89 (26.0, 52.33)","25.66 (16.88, 38.99)","-11.23 (-9.12, -13.34)",thousand,thousand,thousand
20 years,female,t_chd_event_annual,"752.26 (722.34, 782.14)","676.64 (649.05, 704.61)","-75.63 (-73.28, -77.53)",thousand,thousand,thousand
20 years,female,t_chd_death_annual,"327.34 (291.29, 367.71)","307.47 (272.57, 346.71)","-19.86 (-18.72, -21.0)",thousand,thousand,thousand
20 years,female,t_noncvd_death_annual,"1.28 (1.21, 1.35)","1.21 (1.14, 1.28)","-0.07 (-0.07, -0.07)",million,million,million
20 years,female,t_Cost_annual,"11.75 (11.57, 11.93)","10.36 (10.2, 10.53)","-1.38 (-1.36, -1.4)",billion,billion,billion
20 years,female,t_QALY_annual,"8.32 (8.29, 8.34)","8.31 (8.29, 8.34)","-0.0 (-0.0, -0.0)",million,million,million
20 years,male,t_stroke_event,"18.29 (17.92, 18.66)","17.3 (16.95, 17.65)","-0.98 (-0.98, -1.01)",million,million,million
20 years,male,t_IS_event,"13.03 (12.78, 13.29)","12.33 (12.09, 12.58)","-0.7 (-0.69, -0.71)",million,million,million
20 years,male,t_HS_event,"2.97 (2.91, 3.03)","2.81 (2.76, 2.87)","-0.16 (-0.16, -0.16)",million,million,million
20 years,male,t_US_event,"2.28 (2.24, 2.33)","2.16 (2.12, 2.2)","-0.12 (-0.12, -0.12)",million,million,million
20 years,male,t_stroke_death,"1040.54 (973.29, 1112.02)","780.41 (721.89, 843.35)","-260.14 (-251.4, -268.67)",thousand,thousand,thousand
20 years,male,t_IS_death,"741.49 (684.42, 803.01)","556.12 (506.67, 610.17)","-185.37 (-177.76, -192.85)",thousand,thousand,thousand
20 years,male,t_HS_death,"169.19 (142.58, 200.69)","126.89 (104.12, 154.59)","-42.3 (-38.46, -46.1)",thousand,thousand,thousand
20 years,male,t_US_death,"129.86 (106.8, 157.84)","97.39 (77.7, 122.03)","-32.46 (-29.1, -35.81)",thousand,thousand,thousand
20 years,male,t_chd_event,"7.09 (6.92, 7.27)","6.69 (6.52, 6.86)","-0.4 (-0.4, -0.4)",million,million,million
20 years,male,t_chd_death,"1.09 (1.02, 1.16)","1.09 (1.02, 1.16)","0.0 (0.0, 0.0)",million,million,million
20 years,male,Cost,"128.55 (126.51, 130.59)","121.1 (119.21, 123.0)","-7.45 (-7.3, -7.59)",billion,billion,billion
20 years,male,QALY,"91.77 (90.77, 92.76)","97.9 (96.89, 98.91)","6.13 (6.12, 6.15)",million,million,million
20 years,male,t_deathage,"75.04 (74.82, 75.27)","75.78 (75.55, 76.01)","0.74 (-0.74, 0.74)",,,
20 years,male,t_stroke_event_annual,"1.84 (1.8, 1.88)","1.61 (1.57, 1.64)","-0.23 (-0.23, -0.24)",million,million,million
20 years,male,t_IS_event_annual,"1.31 (1.28, 1.34)","1.15 (1.12, 1.17)","-0.16 (-0.16, -0.17)",million,million,million
20 years,male,t_HS_event_annual,"298.83 (291.97, 305.67)","261.31 (255.28, 267.35)","-37.52 (-36.69, -38.31)",thousand,thousand,thousand
20 years,male,t_US_event_annual,"229.36 (224.14, 234.59)","200.56 (195.96, 205.29)","-28.8 (-28.18, -29.3)",thousand,thousand,thousand
20 years,male,t_stroke_death_annual,"309.85 (273.2, 351.28)","217.35 (186.94, 252.63)","-92.49 (-86.26, -98.65)",thousand,thousand,thousand
20 years,male,t_IS_death_annual,"220.8 (190.12, 256.32)","154.89 (129.51, 185.16)","-65.91 (-60.61, -71.16)",thousand,thousand,thousand
20 years,male,t_HS_death_annual,"50.38 (36.81, 68.94)","35.34 (24.3, 51.37)","-15.04 (-12.5, -17.57)",thousand,thousand,thousand
20 years,male,t_US_death_annual,"38.67 (27.03, 55.3)","27.13 (17.7, 41.55)","-11.54 (-9.33, -13.75)",thousand,thousand,thousand
20 years,male,t_chd_event_annual,"792.34 (760.97, 824.77)","717.36 (687.97, 748.28)","-74.98 (-73.0, -76.48)",thousand,thousand,thousand
20 years,male,t_chd_death_annual,"333.63 (295.55, 376.48)","315.86 (278.84, 357.66)","-17.77 (-16.7, -18.82)",thousand,thousand,thousand
20 years,male,t_noncvd_death_annual,"1.88 (1.79, 1.97)","1.75 (1.66, 1.84)","-0.13 (-0.13, -0.13)",million,million,million
20 years,male,t_Cost_annual,"12.62 (12.42, 12.83)","11.21 (11.02, 11.39)","-1.41 (-1.39, -1.43)",billion,billion,billion
20 years,male,t_QALY_annual,"9.37 (9.34, 9.4)","9.34 (9.32, 9.37)","-0.02 (-0.02, -0.02)",million,million,million
30 years,both,t_stroke_event,"40.35 (39.55, 41.14)","38.44 (37.67, 39.22)","-1.91 (-1.88, -1.92)",million,million,million
30 years,both,t_IS_event,"28.76 (28.19, 29.33)","27.39 (26.84, 27.94)","-1.36 (-1.35, -1.38)",million,million,million
30 years,both,t_HS_event,"6.56 (6.43, 6.69)","6.25 (6.13, 6.38)","-0.31 (-0.31, -0.31)",million,million,million
30 years,both,t_US_event,"5.04 (4.94, 5.13)","4.8 (4.7, 4.89)","-0.24 (-0.24, -0.24)",million,million,million
30 years,both,t_stroke_death,"2.3 (2.16, 2.44)","1.74 (1.62, 1.87)","-0.56 (-0.54, -0.57)",million,million,million
30 years,both,t_IS_death,"1.64 (1.52, 1.76)","1.24 (1.14, 1.35)","-0.4 (-0.38, -0.41)",million,million,million
30 years,both,t_HS_death,"373.26 (318.34, 437.48)","282.69 (235.39, 339.36)","-90.57 (-82.96, -98.12)",thousand,thousand,thousand
30 years,both,t_US_death,"286.49 (238.84, 343.5)","216.97 (176.02, 267.35)","-69.52 (-62.83, -76.16)",thousand,thousand,thousand
30 years,both,t_chd_event,"15.77 (15.4, 16.14)","15.03 (14.67, 15.39)","-0.74 (-0.73, -0.75)",million,million,million
30 years,both,t_chd_death,"2.47 (2.32, 2.62)","2.49 (2.35, 2.64)","0.02 (0.02, 0.03)",million,million,million
30 years,both,Cost,"286.77 (282.14, 291.41)","271.9 (267.56, 276.25)","-14.87 (-14.58, -15.16)",billion,billion,billion
30 years,both,QALY,"197.67 (195.39, 199.94)","211.56 (209.23, 213.89)","13.9 (13.84, 13.95)",million,million,million
30 years,both,t_deathage,"77.23 (77.01, 77.45)","78.12 (77.9, 78.34)","0.89 (-0.89, 0.89)",,,
30 years,both,t_stroke_event_annual,"3.46 (3.39, 3.54)","3.03 (2.95, 3.1)","-0.44 (-0.43, -0.45)",million,million,million
30 years,both,t_IS_event_annual,"2.47 (2.41, 2.52)","2.16 (2.11, 2.21)","-0.31 (-0.31, -0.32)",million,million,million
30 years,both,t_HS_event_annual,"563.3 (550.52, 575.86)","491.94 (480.68, 503.22)","-71.37 (-69.84, -72.64)",thousand,thousand,thousand
30 years,both,t_US_event_annual,"432.35 (422.57, 442.16)","377.58 (368.84, 386.43)","-54.78 (-53.74, -55.73)",thousand,thousand,thousand
30 years,both,t_stroke_death_annual,"611.56 (540.34, 691.91)","429.15 (370.01, 497.56)","-182.41 (-170.33, -194.35)",thousand,thousand,thousand
30 years,both,t_IS_death_annual,"435.8 (376.17, 504.68)","305.81 (256.46, 364.52)","-129.99 (-119.71, -140.16)",thousand,thousand,thousand
30 years,both,t_HS_death_annual,"99.44 (73.01, 135.39)","69.78 (48.28, 100.82)","-29.66 (-24.73, -34.56)",thousand,thousand,thousand
30 years,both,t_US_death_annual,"76.32 (53.66, 108.52)","53.56 (35.19, 81.47)","-22.76 (-18.46, -27.05)",thousand,thousand,thousand
30 years,both,t_chd_event_annual,"1.54 (1.48, 1.6)","1.38 (1.32, 1.44)","-0.16 (-0.15, -0.16)",million,million,million
30 years,both,t_chd_death_annual,"675.78 (600.77, 759.86)","638.13 (565.32, 720.04)","-37.65 (-35.45, -39.81)",thousand,thousand,thousand
30 years,both,t_noncvd_death_annual,"3.31 (3.15, 3.48)","3.11 (2.95, 3.28)","-0.2 (-0.2, -0.2)",million,million,million
30 years,both,t_Cost_annual,"23.88 (23.5, 24.26)","21.16 (20.82, 21.5)","-2.72 (-2.69, -2.76)",billion,billion,billion
30 years,both,t_QALY_annual,"17.34 (17.28, 17.4)","17.25 (17.19, 17.31)","-0.09 (-0.09, -0.09)",million,million,million
30 years,female,t_stroke_event,"20.77 (20.37, 21.16)","19.75 (19.38, 20.13)","-1.01 (-0.99, -1.03)",million,million,million
30 years,female,t_IS_event,"14.8 (14.53, 15.08)","14.08 (13.8, 14.35)","-0.72 (-0.72, -0.73)",million,million,million
30 years,female,t_HS_event,"3.38 (3.32, 3.44)","3.21 (3.15, 3.27)","-0.16 (-0.17, -0.17)",million,million,million
30 years,female,t_US_event,"2.59 (2.54, 2.64)","2.47 (2.42, 2.51)","-0.13 (-0.12, -0.13)",million,million,million
30 years,female,t_stroke_death,"1158.54 (1091.21, 1229.55)","852.53 (794.3, 914.68)","-306.01 (-296.9, -314.87)",thousand,thousand,thousand
30 years,female,t_IS_death,"825.57 (768.24, 886.85)","607.51 (558.18, 660.95)","-218.06 (-210.06, -225.9)",thousand,thousand,thousand
30 years,female,t_HS_death,"188.38 (161.39, 219.79)","138.62 (115.73, 165.98)","-49.76 (-45.67, -53.81)",thousand,thousand,thousand
30 years,female,t_US_death,"144.59 (121.16, 172.47)","106.4 (86.57, 130.71)","-38.19 (-34.59, -41.76)",thousand,thousand,thousand
30 years,female,t_chd_event,"8.09 (7.91, 8.28)","7.66 (7.49, 7.84)","-0.43 (-0.43, -0.44)",million,million,million
30 years,female,t_chd_death,"1.24 (1.17, 1.31)","1.27 (1.2, 1.34)","0.03 (0.03, 0.03)",million,million,million
30 years,female,Cost,"147.71 (145.45, 149.97)","139.3 (137.19, 141.41)","-8.41 (-8.27, -8.56)",billion,billion,billion
30 years,female,QALY,"100.43 (99.33, 101.53)","107.17 (106.05, 108.3)","6.75 (6.72, 6.78)",million,million,million
30 years,female,t_deathage,"79.32 (79.1, 79.55)","80.26 (80.04, 80.49)","0.94 (-0.94, 0.94)",,,
30 years,female,t_stroke_event_annual,"1.68 (1.64, 1.72)","1.46 (1.43, 1.49)","-0.22 (-0.22, -0.22)",million,million,million
30 years,female,t_IS_event_annual,"1.2 (1.17, 1.22)","1.04 (1.02, 1.06)","-0.16 (-0.15, -0.16)",million,million,million
