Year,Gender,Variable,Base,Intervention,Change,Base Unit,Intervention Unit,Change Unit
10 years,both,t_stroke_death_annual,"565567.98 (497187.77, 643105.74)","390514.5 (334260.55, 456060.45)","-175053.47 (-162927.22, -187045.28)",,,
10 years,both,t_IS_death_annual,"403023.74 (345818.87, 469511.0)","278280.63 (231380.07, 334559.39)","-124743.11 (-114438.8, -134951.61)",,,
10 years,both,t_HS_death_annual,"91961.35 (66696.98, 126747.0)","63497.66 (43163.78, 93374.67)","-28463.69 (-23533.2, -33372.33)",,,
10 years,both,t_US_death_annual,"70582.88 (48934.82, 101768.65)","48736.21 (31391.44, 75635.46)","-21846.67 (-17543.38, -26133.19)",,,
10 years,both,t_chd_event_annual,"1606717.94 (1543788.57, 1671589.69)","1429044.64 (1369331.62, 1489183.9)","-177673.3 (-174456.95, -182405.79)",,,
10 years,both,t_chd_death_annual,"632973.7 (560466.21, 714586.99)","587561.42 (517807.08, 666456.42)","-45412.28 (-42659.12, -48130.57)",,,
10 years,both,t_noncvd_death_annual,"2787494.77 (2637053.02, 2945387.64)","2554971.67 (2410412.29, 2707160.76)","-232523.1 (-226640.73, -238226.88)",,,
10 years,both,t_Cost_annual,"24966987508.65 (24566591698.6, 25367383318.71)","22049872076.4 (21685334561.33, 22414409591.46)","-2917115432.25 (-2881257137.26, -2952973727.24)",,,
10 years,both,t_QALY_annual,"18834561.72 (18794541.6, 18874581.83)","18898311.4 (18860531.95, 18936090.84)","63749.68 (65990.35, 61509.01)",,,
10 years,female,t_stroke_event,"13542876.21 (13284497.09, 13806018.08)","12362905.2 (12116403.18, 12609377.45)","-1179971.02 (-1168093.91, -1196640.64)",,,
10 years,female,t_IS_event,"9650653.59 (9469078.08, 9835644.25)","8809806.24 (8635018.6, 8979524.2)","-840847.35 (-834059.48, -856120.05)",,,
10 years,female,t_HS_event,"2202071.67 (2159865.62, 2243701.75)","2010208.39 (1970514.37, 2049703.96)","-191863.29 (-189351.25, -193997.79)",,,
10 years,female,t_US_event,"1690150.95 (1658499.63, 1721653.68)","1542890.57 (1513018.7, 1574096.1)","-147260.38 (-145480.92, -147557.58)",,,
10 years,female,t_stroke_death,"773946.68 (718380.43, 833490.76)","550097.49 (503149.19, 601195.53)","-223849.19 (-215231.23, -232295.24)",,,
10 years,female,t_IS_death,"551514.4 (504505.66, 602671.8)","391999.47 (352447.38, 435822.72)","-159514.94 (-152058.28, -166849.08)",,,
10 years,female,t_HS_death,"125843.73 (104116.72, 152046.32)","89445.85 (71425.36, 111969.87)","-36397.88 (-32691.36, -40076.45)",,,
10 years,female,t_US_death,"96588.55 (77787.63, 119887.5)","68652.17 (53102.1, 88721.73)","-27936.38 (-24685.53, -31165.77)",,,
10 years,female,t_chd_event,"5130671.14 (4997314.18, 5269981.55)","4630582.52 (4498416.24, 4765130.17)","-500088.62 (-498897.94, -504851.37)",,,
10 years,female,t_chd_death,"877536.47 (818490.66, 940480.54)","841815.85 (783939.77, 903617.64)","-35720.62 (-34550.89, -36862.91)",,,
10 years,female,Cost,"90387143128.46 (89114612421.72, 91659673835.2)","81858016566.25 (80692002918.58, 83024030213.92)","-8529126562.21 (-8422609503.14, -8635643621.28)",,,
10 years,female,QALY,"68054324.21 (67554103.0, 68554545.42)","70698156.27 (70209121.39, 71187191.16)","2643832.06 (2655018.39, 2632645.74)",,,
10 years,female,t_deathage,"76.89 (76.55, 77.23)","77.66 (77.31, 78.0)","0.76 (-0.77, 0.75)",,,
10 years,female,t_stroke_event_annual,"1801352.39 (1763498.3, 1840484.78)","1572480.11 (1538537.55, 1608243.32)","-228872.29 (-224960.75, -232241.46)",,,
10 years,female,t_IS_event_annual,"1283643.72 (1255816.51, 1312052.3)","1120549.32 (1095810.11, 1145893.43)","-163094.39 (-160006.4, -166158.87)",,,
10 years,female,t_HS_event_annual,"292899.9 (286475.0, 299198.64)","255685.27 (249932.65, 261472.92)","-37214.63 (-36542.35, -37725.72)",,,
10 years,female,t_US_event_annual,"224808.78 (219911.87, 229693.62)","196245.52 (191988.88, 200706.94)","-28563.26 (-27922.99, -28986.68)",,,
10 years,female,t_stroke_death_annual,"276561.67 (243529.62, 313953.54)","190556.73 (163406.07, 222133.26)","-86004.94 (-80123.55, -91820.28)",,,
10 years,female,t_IS_death_annual,"197077.85 (169437.74, 229138.82)","135790.73 (113149.5, 162899.88)","-61287.12 (-56288.24, -66238.94)",,,
10 years,female,t_HS_death_annual,"44968.93 (32747.12, 61728.42)","30984.52 (21156.2, 45361.27)","-13984.4 (-11590.92, -16367.15)",,,
10 years,female,t_US_death_annual,"34514.9 (24039.49, 49536.01)","23781.48 (15395.36, 36721.55)","-10733.42 (-8644.13, -12814.46)",,,
10 years,female,t_chd_event_annual,"777112.4 (747126.68, 808000.25)","691338.5 (663281.72, 719478.42)","-85773.89 (-83844.96, -88521.83)",,,
10 years,female,t_chd_death_annual,"308332.23 (273379.12, 347620.76)","285291.96 (251720.78, 323216.25)","-23040.27 (-21658.34, -24404.51)",,,
10 years,female,t_noncvd_death_annual,"1093036.67 (1027506.38, 1162299.74)","1017896.28 (954524.59, 1085058.44)","-75140.39 (-72981.78, -77241.3)",,,
10 years,female,t_Cost_annual,"12106956908.68 (11915146762.46, 12298767054.91)","10635964145.85 (10462868894.36, 10809059397.35)","-1470992762.83 (-1452277868.1, -1489707657.56)",,,
10 years,female,t_QALY_annual,"8921533.79 (8902665.92, 8940401.66)","8963382.49 (8945604.29, 8981160.7)","41848.7 (42938.37, 40759.04)",,,
10 years,male,t_stroke_event,"13788517.53 (13512694.89, 14063032.96)","12693070.27 (12423783.72, 12957160.65)","-1095447.26 (-1088911.18, -1105872.31)",,,
10 years,male,t_IS_event,"9825697.59 (9632849.18, 10023203.62)","9045081.88 (8855982.84, 9230454.82)","-780615.72 (-776866.34, -792748.8)",,,
10 years,male,t_HS_event,"2242012.95 (2196951.64, 2287499.37)","2063893.23 (2021807.66, 2106403.9)","-178119.72 (-175143.98, -181095.47)",,,
10 years,male,t_US_event,"1720806.99 (1687032.81, 1755229.65)","1584095.17 (1550325.07, 1617053.65)","-136711.82 (-136707.74, -138176.0)",,,
10 years,male,t_stroke_death,"798709.16 (739518.82, 862305.78)","567331.87 (517379.37, 621868.36)","-231377.29 (-222139.45, -240437.42)",,,
10 years,male,t_IS_death,"569160.15 (519126.84, 623776.03)","404280.69 (362226.45, 451044.14)","-164879.45 (-156900.39, -172731.89)",,,
10 years,male,t_HS_death,"129870.11 (106805.93, 157854.24)","92248.16 (73137.59, 116307.58)","-37621.95 (-33668.34, -41546.66)",,,
10 years,male,t_US_death,"99678.9 (79730.6, 124570.34)","70803.02 (54321.29, 92250.05)","-28875.89 (-25409.31, -32320.28)",,,
10 years,male,t_chd_event,"5303376.53 (5153046.65, 5449784.75)","4824935.36 (4686370.44, 4964807.51)","-478441.17 (-466676.22, -484977.25)",,,
10 years,male,t_chd_death,"869298.84 (807614.36, 935335.39)","828775.13 (768506.82, 893426.64)","-40523.71 (-39107.54, -41908.75)",,,
10 years,male,Cost,"92499102276.27 (91096567748.7, 93901636803.83)","84673413040.09 (83387144855.35, 85959681224.83)","-7825689236.18 (-7709422893.36, -7941955579.0)",,,
10 years,male,QALY,"70442299.08 (69865904.83, 71018693.33)","73717645.35 (73150330.25, 74284960.44)","3275346.26 (3284425.41, 3266267.11)",,,
10 years,male,t_deathage,"73.98 (73.7, 74.27)","74.59 (74.29, 74.89)","0.61 (-0.62, 0.6)",,,
10 years,male,t_stroke_event_annual,"1925733.99 (1882009.45, 1969529.8)","1688946.8 (1650206.76, 1728327.47)","-236787.19 (-231802.69, -241202.33)",,,
10 years,male,t_IS_event_annual,"1372278.04 (1341812.67, 1403620.9)","1203543.49 (1175081.73, 1232038.12)","-168734.55 (-166730.94, -171582.78)",,,
10 years,male,t_HS_event_annual,"313124.35 (306069.95, 320242.69)","274622.75 (268218.05, 281105.17)","-38501.6 (-37851.9, -39137.52)",,,
10 years,male,t_US_event_annual,"240331.6 (234898.36, 245823.05)","210780.56 (205848.34, 215634.04)","-29551.04 (-29050.02, -30189.01)",,,
10 years,male,t_stroke_death_annual,"292462.15 (256899.55, 332819.84)","202468.09 (173174.8, 236625.58)","-89994.06 (-83724.76, -96194.25)",,,
10 years,male,t_IS_death_annual,"208408.53 (178661.16, 243015.54)","144278.76 (119858.21, 173608.2)","-64129.77 (-58802.95, -69407.33)",,,
10 years,male,t_HS_death_annual,"47554.35 (34423.91, 65667.95)","32921.31 (22338.97, 48498.06)","-14633.03 (-12084.94, -17169.89)",,,
10 years,male,t_US_death_annual,"36499.28 (25249.83, 52740.38)","25268.02 (16242.4, 39293.92)","-11231.26 (-9007.43, -13446.46)",,,
10 years,male,t_chd_event_annual,"823466.9 (790888.6, 857097.54)","737027.22 (706394.85, 768916.04)","-86439.68 (-84493.74, -88181.5)",,,
10 years,male,t_chd_death_annual,"317929.53 (280785.09, 359849.49)","297080.99 (261226.22, 337727.28)","-20848.54 (-19558.87, -22122.2)",,,
10 years,male,t_noncvd_death_annual,"1669316.25 (1585669.67, 1756700.49)","1526804.78 (1446432.31, 1611024.35)","-142511.48 (-139237.36, -145676.14)",,,
10 years,male,t_Cost_annual,"12972652435.26 (12759285179.05, 13186019691.47)","11474122430.7 (11280805546.14, 11667439315.26)","-1498530004.56 (-1478479632.91, -1518580376.21)",,,
10 years,male,t_QALY_annual,"9901342.98 (9880220.68, 9922465.29)","9929970.11 (9910015.23, 9949924.98)","28627.12 (29794.55, 27459.7)",,,
20 years,both,t_stroke_event,"37061394.23 (36364479.15, 37780790.44)","34900707.7 (34201294.72, 35580199.9)","-2160686.53 (-2163184.43, -2200590.54)",,,
20 years,both,t_IS_event,"26409949.53 (25904427.81, 26919031.25)","24870244.31 (24394938.2, 25347285.93)","-1539705.22 (-1509489.62, -1571745.33)",,,
20 years,both,t_HS_event,"6026182.7 (5910823.36, 6143156.53)","5674855.07 (5563567.48, 5787371.3)","-351327.63 (-347255.88, -355785.23)",,,
20 years,both,t_US_event,"4625262.0 (4534857.88, 4713795.69)","4355608.32 (4269256.8, 4440408.95)","-269653.68 (-265601.08, -273386.75)",,,
20 years,both,t_stroke_death,"2113226.36 (1980935.68, 2253486.0)","1578675.01 (1463688.19, 1702041.33)","-534551.35 (-517247.49, -551444.67)",,,
20 years,both,t_IS_death,"1505885.1 (1393521.02, 1626684.59)","1124963.81 (1027722.53, 1230933.04)","-380921.29 (-365798.49, -395751.55)",,,
20 years,both,t_HS_death,"343610.61 (291070.62, 405478.61)","256692.56 (211802.29, 310977.59)","-86918.05 (-79268.33, -94501.01)",,,
20 years,both,t_US_death,"263730.65 (218175.84, 318674.83)","197018.64 (158182.53, 245295.35)","-66712.01 (-59993.3, -73379.48)",,,
20 years,both,t_chd_event,"14355451.41 (14010678.28, 14697726.64)","13471193.58 (13133976.6, 13805912.64)","-884257.84 (-876701.68, -891814.0)",,,
20 years,both,t_chd_death,"2283083.8 (2145889.94, 2428116.17)","2270594.28 (2133752.6, 2415284.06)","-12489.52 (-12137.33, -12832.11)",,,
20 years,both,Cost,"259580513330.63 (255609774986.36, 263551251674.89)","243149613157.82 (239474838410.28, 246824387905.35)","-16430900172.81 (-16134936576.08, -16726863769.54)",,,
20 years,both,QALY,"183584119.26 (181672766.22, 185495472.3)","195189917.07 (193259449.68, 197120384.47)","11605797.82 (11586683.46, 11624912.17)",,,
20 years,both,t_deathage,"76.46 (76.22, 76.7)","77.22 (76.97, 77.46)","0.76 (-0.76, 0.75)",,,
20 years,both,t_stroke_event_annual,"3525308.56 (3447460.42, 3604645.7)","3084371.86 (3015445.66, 3155135.49)","-440936.7 (-432014.76, -449510.21)",,,
20 years,both,t_IS_event_annual,"2512134.88 (2455598.02, 2569984.51)","2197923.39 (2148487.69, 2246778.67)","-314211.49 (-307110.34, -323205.84)",,,
20 years,both,t_HS_event_annual,"573215.17 (560356.42, 586036.34)","501518.86 (490273.06, 513105.3)","-71696.31 (-70083.36, -72931.04)",,,
20 years,both,t_US_event_annual,"439958.51 (430295.45, 449645.28)","384929.61 (376278.69, 393672.57)","-55028.9 (-54016.77, -55972.71)",,,
20 years,both,t_stroke_death_annual,"604140.81 (533368.6, 684040.95)","422657.95 (363990.97, 490592.24)","-181482.86 (-169377.63, -193448.72)",,,
20 years,both,t_IS_death_annual,"430510.74 (371268.91, 499013.85)","301186.06 (252237.81, 359494.9)","-129324.69 (-119031.1, -139518.95)",,,
20 years,both,t_HS_death_annual,"98233.3 (71988.62, 133994.43)","68724.18 (47414.42, 99573.07)","-29509.11 (-24574.2, -34421.36)",,,
20 years,both,t_US_death_annual,"75396.77 (52892.17, 107435.38)","52747.71 (34551.9, 80494.92)","-22649.06 (-18340.27, -26940.46)",,,
20 years,both,t_chd_event_annual,"1555816.67 (1494864.35, 1617673.55)","1396252.28 (1339312.55, 1455874.59)","-159564.39 (-155551.8, -161798.96)",,,
20 years,both,t_chd_death_annual,"668111.71 (593545.7, 751756.52)","629115.56 (556837.78, 710502.09)","-38996.15 (-36707.92, -41254.43)",,,
20 years,both,t_noncvd_death_annual,"3183043.06 (3023357.28, 3349876.19)","2965409.28 (2810698.09, 3127434.96)","-217633.78 (-212659.19, -222441.22)",,,
20 years,both,t_Cost_annual,"24252777532.63 (23872114207.5, 24633440857.76)","21494839310.07 (21150138884.2, 21839539735.94)","-2757938222.56 (-2721975323.29, -2793901121.82)",,,
20 years,both,t_QALY_annual,"17704166.3 (17648632.26, 17759700.33)","17670955.66 (17617408.26, 17724503.06)","-33210.63 (-31224.0, -35197.27)",,,
20 years,female,t_stroke_event,"18786662.64 (18438952.21, 19141487.43)","17686467.67 (17345871.6, 18023461.91)","-1100194.97 (-1093080.62, -1118025.51)",,,
20 years,female,t_IS_event,"13387375.8 (13136224.62, 13627496.69)","12603376.86 (12366649.91, 12845194.71)","-783998.94 (-769574.71, -782301.97)",,,
20 years,female,t_HS_event,"3054711.35 (2998565.68, 3111636.27)","2875819.64 (2821803.64, 2930803.67)","-178891.7 (-176762.04, -180832.6)",,,
20 years,female,t_US_event,"2344575.5 (2301627.03, 2388560.44)","2207271.17 (2166258.18, 2248882.25)","-137304.33 (-135368.85, -139678.18)",,,
20 years,female,t_stroke_death,"1041851.3 (977780.41, 1109694.28)","764421.18 (709188.88, 823638.63)","-277430.12 (-268591.52, -286055.65)",,,
20 years,female,t_IS_death,"742423.24 (687971.9, 800876.62)","544726.53 (498008.18, 595598.76)","-197696.7 (-189963.71, -205277.86)",,,
20 years,female,t_HS_death,"169405.02 (143904.79, 199347.37)","124294.88 (102713.5, 150353.03)","-45110.14 (-41191.29, -48994.34)",,,
20 years,female,t_US_death,"130023.04 (107907.58, 156610.87)","95399.76 (76726.67, 118571.81)","-34623.28 (-31180.91, -38039.06)",,,
20 years,female,t_chd_event,"7264382.61 (7095275.26, 7429888.13)","6754768.49 (6596407.09, 6915541.02)","-509614.12 (-498868.17, -514347.1)",,,
20 years,female,t_chd_death,"1141869.02 (1074988.15, 1212445.16)","1151394.52 (1084254.74, 1222222.25)","9525.5 (9266.59, 9777.09)",,,
20 years,female,Cost,"131893894554.71 (129988488700.16, 133799300409.26)","122651035823.51 (120891769284.58, 124410302362.43)","-9242858731.2 (-9096719415.58, -9388998046.83)",,,
20 years,female,QALY,"92316360.55 (91408531.77, 93224189.34)","97689129.02 (96773504.47, 98604753.57)","5372768.47 (5364972.7, 5380564.23)",,,
20 years,female,t_deathage,"78.41 (78.15, 78.66)","79.23 (78.97, 79.49)","0.82 (-0.83, 0.82)",,,
20 years,female,t_stroke_event_annual,"1709823.26 (1673939.14, 1746973.04)","1491596.71 (1459318.37, 1524470.56)","-218226.54 (-214620.77, -222502.48)",,,
20 years,female,t_IS_event_annual,"1218420.05 (1192204.36, 1245239.02)","1062911.82 (1039710.08, 1086530.96)","-155508.24 (-152494.28, -158708.06)",,,
20 years,female,t_HS_event_annual,"278017.26 (272171.31, 284053.58)","242533.63 (237246.05, 247990.42)","-35483.64 (-34925.26, -36063.16)",,,
20 years,female,t_US_event_annual,"213385.94 (208831.08, 218044.48)","186151.27 (182114.44, 190301.19)","-27234.67 (-26716.64, -27743.3)",,,
20 years,female,t_stroke_death_annual,"295618.33 (261420.69, 334161.17)","205611.34 (177343.3, 238293.7)","-90006.99 (-84077.39, -95867.47)",,,
20 years,female,t_IS_death_annual,"210657.62 (182024.63, 243701.05)","146518.64 (122929.04, 174567.94)","-64138.98 (-59095.59, -69133.11)",,,
20 years,female,t_HS_death_annual,"48067.54 (35367.55, 65302.84)","33432.4 (23151.84, 48259.51)","-14635.14 (-12215.71, -17043.32)",,,
20 years,female,t_US_death_annual,"36893.17 (25999.9, 52330.32)","25660.3 (16879.74, 38993.36)","-11232.87 (-9120.16, -13336.96)",,,
20 years,female,t_chd_event_annual,"752262.09 (722335.98, 782141.37)","676636.06 (649053.8, 704609.08)","-75626.04 (-73282.18, -77532.29)",,,
20 years,female,t_chd_death_annual,"327337.15 (291285.27, 367709.86)","307472.16 (272569.62, 346710.77)","-19865.0 (-18715.65, -20999.08)",,,
20 years,female,t_noncvd_death_annual,"1279537.34 (1209048.92, 1353615.29)","1206398.68 (1137791.63, 1278651.44)","-73138.66 (-71257.3, -74963.85)",,,
20 years,female,t_Cost_annual,"11747411078.7 (11565650899.5, 11929171257.89)","10363645516.82 (10200778174.56, 10526512859.08)","-1383765561.88 (-1364872724.95, -1402658398.81)",,,
20 years,female,t_QALY_annual,"8315863.77 (8289427.43, 8342300.11)","8312811.32 (8287415.29, 8338207.35)","-3052.45 (-2012.14, -4092.76)",,,
20 years,male,t_stroke_event,"18287956.04 (17924549.91, 18663127.12)","17303622.16 (16945444.9, 17653988.81)","-984333.87 (-979105.01, -1009138.3)",,,
20 years,male,t_IS_event,"13031997.47 (12775828.83, 13293755.25)","12330561.15 (12088365.35, 12579300.91)","-701436.32 (-687463.48, -714454.34)",,,
20 years,male,t_HS_event,"2973621.65 (2914744.37, 3032929.36)","2813568.96 (2755967.0, 2871170.93)","-160052.69 (-158777.37, -161758.43)",,,
20 years,male,t_US_event,"2282336.91 (2237146.97, 2328346.64)","2159492.05 (2115440.01, 2204033.51)","-122844.87 (-121706.96, -124313.13)",,,
20 years,male,t_stroke_death,"1040544.17 (973286.63, 1112022.27)","780408.13 (721885.92, 843350.68)","-260136.04 (-251400.71, -268671.59)",,,
20 years,male,t_IS_death,"741491.78 (684422.01, 803011.78)","556118.83 (506665.17, 610165.09)","-185372.94 (-177756.84, -192846.69)",,,
20 years,male,t_HS_death,"169192.48 (142580.88, 200693.83)","126894.36 (104119.71, 154591.25)","-42298.12 (-38461.17, -46102.58)",,,
20 years,male,t_US_death,"129859.91 (106796.72, 157843.06)","97394.93 (77700.68, 122034.08)","-32464.98 (-29096.04, -35808.98)",,,
20 years,male,t_chd_event,"7094262.86 (6921710.31, 7268155.31)","6691640.24 (6523009.34, 6864192.79)","-402622.62 (-398700.97, -403962.52)",,,
20 years,male,t_chd_death,"1087603.96 (1018917.74, 1160474.6)","1090218.39 (1021453.97, 1163165.22)","2614.43 (2536.24, 2690.62)",,,
20 years,male,Cost,"128551584517.66 (126510064699.12, 130593104336.2)","121102113512.06 (119205983215.22, 122998243808.9)","-7449471005.6 (-7304081483.91, -7594860527.29)",,,
20 years,male,QALY,"91767609.05 (90774548.14, 92760669.96)","97901049.81 (96892932.71, 98909166.92)","6133440.76 (6118384.57, 6148496.96)",,,
20 years,male,t_deathage,"75.04 (74.82, 75.27)","75.78 (75.55, 76.01)","0.74 (-0.74, 0.74)",,,
20 years,male,t_stroke_event_annual,"1837811.76 (1796591.78, 1881195.46)","1607075.38 (1569502.78, 1644816.64)","-230736.38 (-227089.0, -236378.82)",,,
20 years,male,t_IS_event_annual,"1309624.66 (1279266.25, 1339840.29)","1145201.91 (1118115.35, 1171812.94)","-164422.75 (-161150.9, -168027.35)",,,
20 years,male,t_HS_event_annual,"298828.19 (291967.42, 305668.02)","261310.46 (255282.35, 267354.28)","-37517.74 (-36685.07, -38313.74)",,,
20 years,male,t_US_event_annual,"229358.91 (224139.69, 234594.05)","200563.01 (195958.36, 205291.32)","-28795.9 (-28181.32, -29302.73)",,,
20 years,male,t_stroke_death_annual,"309848.39 (273198.34, 351280.16)","217354.34 (186935.67, 252625.77)","-92494.05 (-86262.67, -98654.39)",,,
20 years,male,t_IS_death_annual,"220797.96 (190124.72, 256321.32)","154886.7 (129511.26, 185162.87)","-65911.26 (-60613.45, -71158.45)",,,
20 years,male,t_HS_death_annual,"50381.35 (36805.53, 68938.16)","35341.81 (24304.55, 51371.63)","-15039.53 (-12500.98, -17566.54)",,,
20 years,male,t_US_death_annual,"38669.08 (27030.51, 55297.64)","27125.82 (17703.51, 41546.99)","-11543.26 (-9327.0, -13750.65)",,,
20 years,male,t_chd_event_annual,"792337.89 (760965.79, 824768.63)","717357.77 (687965.89, 748284.57)","-74980.12 (-72999.9, -76484.06)",,,
20 years,male,t_chd_death_annual,"333632.29 (295546.0, 376482.03)","315863.53 (278844.84, 357659.32)","-17768.76 (-16701.16, -18822.71)",,,
20 years,male,t_noncvd_death_annual,"1880234.55 (1792112.17, 1971932.6)","1748603.11 (1663225.06, 1837657.92)","-131631.44 (-128887.11, -134274.68)",,,
20 years,male,t_Cost_annual,"12621535873.34 (12417511007.62, 12825560739.05)","11207200726.73 (11023373652.24, 11391027801.23)","-1414335146.6 (-1394137355.38, -1434532937.83)",,,
20 years,male,t_QALY_annual,"9367191.73 (9338166.68, 9396216.77)","9344209.23 (9316142.38, 9372276.08)","-22982.5 (-22024.3, -23940.69)",,,
30 years,both,t_stroke_event,"40353631.04 (39554301.92, 41142968.55)","38440236.96 (37670882.68, 39219582.85)","-1913394.08 (-1883419.24, -1923385.7)",,,
30 years,both,t_IS_event,"28755997.48 (28191735.57, 29325599.41)","27392512.86 (26844271.0, 27944359.23)","-1363484.62 (-1347464.57, -1381240.18)",,,
30 years,both,t_HS_event,"6561500.41 (6433154.13, 6691877.48)","6250382.53 (6125275.37, 6378322.65)","-311117.88 (-307878.76, -313554.83)",,,
30 years,both,t_US_event,"5036133.15 (4936680.82, 5134330.74)","4797341.57 (4701318.37, 4893045.25)","-238791.58 (-235362.46, -241285.49)",,,
30 years,both,t_stroke_death,"2295573.32 (2158028.55, 2440947.0)","1738540.84 (1618040.45, 1867297.94)","-557032.48 (-539988.1, -573649.06)",,,
30 years,both,t_IS_death,"1635825.55 (1518830.2, 1761156.5)","1238884.2 (1136843.93, 1349564.92)","-396941.35 (-381986.26, -411591.58)",,,
30 years,both,t_HS_death,"373260.22 (318344.19, 437481.5)","282686.74 (235385.77, 339362.52)","-90573.48 (-82958.42, -98118.98)",,,
30 years,both,t_US_death,"286487.55 (238843.73, 343503.25)","216969.9 (176017.59, 267347.48)","-69517.65 (-62826.15, -76155.77)",,,
30 years,both,t_chd_event,"15769264.8 (15399575.08, 16138954.51)","15032383.26 (14670187.26, 15387085.56)","-736881.53 (-729387.82, -751868.95)",,,
30 years,both,t_chd_death,"2465430.75 (2323235.72, 2615324.25)","2490409.79 (2347549.35, 2640949.51)","24979.04 (24313.63, 25625.26)",,,
30 years,both,Cost,"286773725546.8 (282136824177.01, 291410626916.59)","271902648819.38 (267555992443.91, 276249305194.85)","-14871076727.42 (-14580831733.1, -15161321721.74)",,,
30 years,both,QALY,"197667490.28 (195390647.58, 199944332.99)","211563279.43 (209231867.38, 213894691.47)","13895789.14 (13841219.8, 13950358.48)",,,
30 years,both,t_deathage,"77.23 (77.01, 77.45)","78.12 (77.9, 78.34)","0.89 (-0.89, 0.89)",,,
30 years,both,t_stroke_event_annual,"3464349.14 (3385185.49, 3544442.6)","3025441.64 (2954182.03, 3095291.63)","-438907.51 (-431003.46, -449150.98)",,,
30 years,both,t_IS_event_annual,"2468695.2 (2413053.49, 2524133.89)","2155929.71 (2105592.17, 2206035.42)","-312765.49 (-307461.32, -318098.47)",,,
30 years,both,t_HS_event_annual,"563303.17 (550517.06, 575857.49)","491936.81 (480677.33, 503220.28)","-71366.36 (-69839.73, -72637.21)",,,
30 years,both,t_US_event_annual,"432350.77 (422574.27, 442162.59)","377575.12 (368837.29, 386429.99)","-54775.66 (-53736.98, -55732.6)",,,
30 years,both,t_stroke_death_annual,"611562.51 (540339.48, 691907.77)","429150.8 (370008.12, 497555.79)","-182411.72 (-170331.36, -194351.99)",,,
30 years,both,t_IS_death_annual,"435799.45 (376173.54, 504682.57)","305812.86 (256460.78, 364521.98)","-129986.59 (-119712.75, -140160.6)",,,
30 years,both,t_HS_death_annual,"99440.06 (73010.35, 135385.32)","69779.92 (48277.46, 100820.69)","-29660.15 (-24732.88, -34564.63)",,,
30 years,both,t_US_death_annual,"76323.0 (53656.69, 108522.61)","53558.02 (35194.12, 81472.69)","-22764.98 (-18462.56, -27049.92)",,,
30 years,both,t_chd_event_annual,"1535928.0 (1475682.07, 1598285.26)","1380783.23 (1324472.72, 1440370.04)","-155144.77 (-151209.36, -157915.21)",,,
